a 	 ఒక 	(Oka)	
kilometre 	 కిలోమీటరు 	(Kilōmīṭaru)	
kind 	 రకమైన 	(Rakamaina)	
kindly 	 దయతో 	(Dayatō)	
kindness 	 దయ 	(Daya)	
king 	 రాజు 	(Rāju)	
kiss 	 ముద్దు 	(Muddu)	
kitchen 	 వంటగది 	(Vaṇṭagadi)	
knee 	 మోకాలు 	(Mōkālu)	
knife 	 కత్తి 	(Katti)	
knit 	 knit 	(Knit)	
knitted 	 అల్లిన 	(Allina)	
knitting 	 అల్లడం 	(Allaḍaṁ)	
knock 	 కొట్టు 	(Koṭṭu)	
knock down 	 పడగొట్టు 	(Paḍagoṭṭu)	
knock out 	 నాకౌట్ 	(Nākauṭ)	
knot 	 ముడి 	(Muḍi)	
know 	 తెలుసు 	(Telusu)	
knowledge 	 జ్ఞానం 	(Jñānaṁ)	
lab 	 ప్రయోగశాల 	(Prayōgaśāla)	
label 	 లేబుల్ 	(Lēbul)	
laboratory 	 ప్రయోగశాల 	(Prayōgaśāla)	
labour 	 శ్రమ 	(Śrama)	
lack 	 లేకపోవడం 	(Lēkapōvaḍaṁ)	
lacking 	 లేకపోవడం 	(Lēkapōvaḍaṁ)	
lady 	 స్త్రీ 	(Strī)	
lake 	 సరస్సు 	(Saras'su)	
lamp 	 దీపం 	(Dīpaṁ)	
land 	 భూమి 	(Bhūmi)	
landscape 	 ప్రకృతి దృశ్యం 	(Prakr̥ti dr̥śyaṁ)	
lane 	 లేన్ 	(Lēn)	
language 	 భాష 	(Bhāṣa)	
large 	 పెద్ద 	(Pedda)	
largely 	 ఎక్కువగా 	(Ekkuvagā)	
last 1 	 చివరి 1 	(Civari 1)	
late 	 ఆలస్యంగా 	(Ālasyaṅgā)	
later 	 తరువాత 	(Taruvāta)	
latest 	 తాజా 	(Tājā)	
latter 	 తరువాతి 	(Taruvāti)	
laugh 	 నవ్వు 	(Navvu)	
laugh at 	 నవ్వు 	(Navvu)	
launch 	 ప్రయోగ 	(Prayōga)	
law 	 చట్టం 	(Caṭṭaṁ)	
lawyer 	 న్యాయవాది 	(N'yāyavādi)	
lay 	 లే 	(Lē)	
layer 	 పొర 	(Pora)	
lazy 	 సోమరితనం 	(Sōmaritanaṁ)	
lead 1 	 దారి 1 	(Dāri 1)	
leader 	 నాయకుడు 	(Nāyakuḍu)	
leading 1 	 ప్రముఖ 1 	(Pramukha 1)	
leaf 	 ఆకు 	(Āku)	
league 	 లీగ్ 	(Līg)	
lean 	 సన్నగా 	(Sannagā)	
learn 	 నేర్చుకుంటారు 	(Nērcukuṇṭāru)	
least 	 కనీసం 	(Kanīsaṁ)	
leather 	 తోలు 	(Tōlu)	
leave 	 వదిలివేయండి 	(Vadilivēyaṇḍi)	
leave out 	 వదిలివేయండి 	(Vadilivēyaṇḍi)	
lecture 	 ఉపన్యాసం 	(Upan'yāsaṁ)	
left 	 వదిలేశారు 	(Vadilēśāru)	
leg 	 కాలు 	(Kālu)	
legal 	 చట్టపరమైన 	(Caṭṭaparamaina)	
legally 	 చట్టబద్ధంగా 	(Caṭṭabad'dhaṅgā)	
lemon 	 నిమ్మకాయ 	(Nim'makāya)	
lend 	 అప్పు ఇస్తాయి 	(Appu istāyi)	
length 	 పొడవు 	(Poḍavu)	
less 	 తక్కువ 	(Takkuva)	
lesson 	 పాఠం 	(Pāṭhaṁ)	
let 	 వీలు 	(Vīlu)	
let down 	 వదులుకో 	(Vadulukō)	
let off 	 వదలండి 	(Vadalaṇḍi)	
letter 	 లేఖ 	(Lēkha)	
level 	 స్థాయి 	(Sthāyi)	
library 	 లైబ్రరీ 	(Laibrarī)	
licence 	 లైసెన్స్ 	(Laisens)	
license 	 లైసెన్స్ 	(Laisens)	
lid 	 మూత 	(Mūta)	
lie 1 	 అబద్ధం 1 	(Abad'dhaṁ 1)	
lie 2 	 అబద్ధం 2 	(Abad'dhaṁ 2)	
lie around 	 చుట్టూ పడుకో 	(Cuṭṭū paḍukō)	
lie down 	 పడుకో 	(Paḍukō)	
life 	 జీవితం 	(Jīvitaṁ)	
lift 	 ఎత్తండి 	(Ettaṇḍi)	
light 	 కాంతి 	(Kānti)	
lightly 	 తేలికగా 	(Tēlikagā)	
like 	 ఇష్టం 	(Iṣṭaṁ)	
likely 	 అవకాశం 	(Avakāśaṁ)	
limit 	 పరిమితి 	(Parimiti)	
limited 	 పరిమితం 	(Parimitaṁ)	
limit to 	 పరిమితి 	(Parimiti)	
line 	 లైన్ 	(Lain)	
link 	 లింక్ 	(Liṅk)	
lip 	 పెదవి 	(Pedavi)	
liquid 	 ద్రవ 	(Drava)	
list 	 జాబితా 	(Jābitā)	
listen 	 వినండి 	(Vinaṇḍi)	
literature 	 సాహిత్యం 	(Sāhityaṁ)	
litre 	 లీటరు 	(Līṭaru)	
little 	 కొద్దిగా 	(Koddigā)	
live 1 	 ప్రత్యక్షం 1 	(Pratyakṣaṁ 1)	
live 2 	 ప్రత్యక్ష 2 	(Pratyakṣa 2)	
lively 	 ఉల్లాసంగా 	(Ullāsaṅgā)	
live on 	 జీవించు 	(Jīvin̄cu)	
live through 	 ద్వారా జీవించండి 	(Dvārā jīvin̄caṇḍi)	
live together 	 కలిసి జీవిస్తారు 	(Kalisi jīvistāru)	
living 	 జీవిస్తున్నాను 	(Jīvistunnānu)	
load 	 లోడ్ 	(Lōḍ)	
loan 	 రుణం 	(Ruṇaṁ)	
local 	 స్థానిక 	(Sthānika)	
locally 	 స్థానికంగా 	(Sthānikaṅgā)	
locate 	 గుర్తించండి 	(Gurtin̄caṇḍi)	
located 	 ఉన్న 	(Unna)	
location 	 స్థానం 	(Sthānaṁ)	
lock 	 తాళం వేయండి 	(Tāḷaṁ vēyaṇḍi)	
lock up 	 లాక్ అప్ 	(Lāk ap)	
logic 	 తర్కం 	(Tarkaṁ)	
logical 	 తార్కిక 	(Tārkika)	
lonely 	 ఒంటరి 	(Oṇṭari)	
long 	 పొడవు 	(Poḍavu)	
look 	 చూడు 	(Cūḍu)	
look after 	 చూసుకో 	(Cūsukō)	
look at 	 చూడండి 	(Cūḍaṇḍi)	
look down on 	 చిన్నచూపు చూడు 	(Cinnacūpu cūḍu)	
look forward to 	 ఎదురు చూస్తారు 	(Eduru cūstāru)	
look into 	 పరిశీలిస్తారు 	(Pariśīlistāru)	
look on 	 చూడు 	(Cūḍu)	
look on with 	 తో చూడండి 	(Tō cūḍaṇḍi)	
look out 	 చూడు 	(Cūḍu)	
look out for 	 కోసం చూడండి 	(Kōsaṁ cūḍaṇḍi)	
look round 	 చుట్టూ చూడండి 	(Cuṭṭū cūḍaṇḍi)	
look through 	 ద్వారా చూడండి 	(Dvārā cūḍaṇḍi)	
look up 	 పైకి చూడు 	(Paiki cūḍu)	
look up to 	 వరకు చూడండి 	(Varaku cūḍaṇḍi)	
loose 	 వదులుగా 	(Vadulugā)	
loosely 	 వదులుగా 	(Vadulugā)	
lord 	 ప్రభువు 	(Prabhuvu)	
lorry 	 లారీ 	(Lārī)	
lose 	 కోల్పోతారు 	(Kōlpōtāru)	
loss 	 నష్టం 	(Naṣṭaṁ)	
lost 	 ఓడిపోయింది 	(Ōḍipōyindi)	
lot 	 చాలా 	(Cālā)	
loud 	 బిగ్గరగా 	(Biggaragā)	
loudly 	 బిగ్గరగా 	(Biggaragā)	
love 	 ప్రేమ 	(Prēma)	
lovely 	 సుందరమైన 	(Sundaramaina)	
lover 	 ప్రేమికుడు 	(Prēmikuḍu)	
low 	 తక్కువ 	(Takkuva)	
loyal 	 విశ్వాసపాత్రుడు 	(Viśvāsapātruḍu)	
luck 	 అదృష్టం 	(Adr̥ṣṭaṁ)	
lucky 	 అదృష్టవంతుడు 	(Adr̥ṣṭavantuḍu)	
luggage 	 సామాను 	(Sāmānu)	
lump 	 ముద్ద 	(Mudda)	
lunch 	 మధ్యాహ్న భోజనం 	(Madhyāhna bhōjanaṁ)	
lung 	 ఊపిరితిత్తుల 	(Ūpiritittula)	
machine 	 యంత్రం 	(Yantraṁ)	
machinery 	 యంత్రాలు 	(Yantrālu)	
mad 	 పిచ్చి 	(Picci)	
magazine 	 పత్రిక 	(Patrika)	
magic 	 మంత్రము 	(Mantramu)	
mail 	 మెయిల్ 	(Meyil)	
main 	 ప్రధాన 	(Pradhāna)	
mainly 	 ప్రధానంగా 	(Pradhānaṅgā)	
maintain 	 నిర్వహించండి 	(Nirvahin̄caṇḍi)	
major 	 ప్రధానమైనది 	(Pradhānamainadi)	
majority 	 మెజారిటీ 	(Mejāriṭī)	
make 	 తయారు 	(Tayāru)	
make into 	 లోకి తయారు 	(Lōki tayāru)	
make up 	 తయారు 	(Tayāru)	
make-up 	 మేకప్ 	(Mēkap)	
make up for 	 కోసం తయారు 	(Kōsaṁ tayāru)	
male 	 పురుషుడు 	(Puruṣuḍu)	
mall 	 మాల్ 	(Māl)	
man 	 మనిషి 	(Maniṣi)	
manage 	 నిర్వహించండి 	(Nirvahin̄caṇḍi)	
management 	 నిర్వహణ 	(Nirvahaṇa)	
manager 	 మేనేజర్ 	(Mēnējar)	
manner 	 పద్ధతి 	(Pad'dhati)	
manufacture 	 తయారీ 	(Tayārī)	
manufacturer 	 తయారీదారు 	(Tayārīdāru)	
manufacturing 	 తయారీ 	(Tayārī)	
many 	 అనేక 	(Anēka)	
map 	 పటం 	(Paṭaṁ)	
march 	 మార్చ్ 	(Mārc)	
March 	 మార్చి 	(Mārci)	
mark 	 గుర్తు 	(Gurtu)	
market 	 మార్కెట్ 	(Mārkeṭ)	
marketing 	 మార్కెటింగ్ 	(Mārkeṭiṅg)	
marriage 	 వివాహం 	(Vivāhaṁ)	
married 	 పెళ్లయింది 	(Peḷlayindi)	
marry 	 పెళ్లి చేసుకుంటారు 	(Peḷli cēsukuṇṭāru)	
mass 	 ద్రవ్యరాశి 	(Dravyarāśi)	
massive 	 భారీ 	(Bhārī)	
master 	 మాస్టర్ 	(Māsṭar)	
match 	 మ్యాచ్ 	(Myāc)	
matching 	 సరిపోలే 	(Saripōlē)	
match up 	 సరిపోల్చండి 	(Saripōlcaṇḍi)	
mate 	 సహచరుడు 	(Sahacaruḍu)	
material 	 పదార్థం 	(Padārthaṁ)	
mathematics 	 గణితం 	(Gaṇitaṁ)	
matter 	 విషయం 	(Viṣayaṁ)	
maximum 	 గరిష్టంగా 	(Gariṣṭaṅgā)	
may 	 మే 	(Mē)	
May 	 మే 	(Mē)	
maybe 	 బహుశా 	(Bahuśā)	
mayor 	 మేయర్ 	(Mēyar)	
me 	 నన్ను 	(Nannu)	
meal 	 భోజనం 	(Bhōjanaṁ)	
mean 	 అర్థం 	(Arthaṁ)	
meaning 	 అర్థం 	(Arthaṁ)	
means 	 అర్థం 	(Arthaṁ)	
meanwhile 	 ఇంతలో 	(Intalō)	
measure 	 కొలత 	(Kolata)	
measurement 	 కొలత 	(Kolata)	
meat 	 మాంసం 	(Mānsaṁ)	
media 	 మీడియా 	(Mīḍiyā)	
medical 	 వైద్య 	(Vaidya)	
medicine 	 మందు 	(Mandu)	
medium 	 మధ్యస్థ 	(Madhyastha)	
meet 	 కలుసుకుంటారు 	(Kalusukuṇṭāru)	
meeting 	 సమావేశం 	(Samāvēśaṁ)	
meet up 	 కలుసుకుంటారు 	(Kalusukuṇṭāru)	
meet with 	 కలవాలి 	(Kalavāli)	
melt 	 కరుగుతాయి 	(Karugutāyi)	
member 	 సభ్యుడు 	(Sabhyuḍu)	
membership 	 సభ్యత్వం 	(Sabhyatvaṁ)	
memory 	 జ్ఞాపకశక్తి 	(Jñāpakaśakti)	
mental 	 మానసిక 	(Mānasika)	
mentally 	 మానసికంగా 	(Mānasikaṅgā)	
mention 	 ప్రస్తావన 	(Prastāvana)	
menu 	 మెను 	(Menu)	
mere 	 కేవలం 	(Kēvalaṁ)	
merely 	 కేవలం 	(Kēvalaṁ)	
mess 	 గజిబిజి 	(Gajibiji)	
message 	 సందేశం 	(Sandēśaṁ)	
metal 	 మెటల్ 	(Meṭal)	
method 	 పద్ధతి 	(Pad'dhati)	
metre 	 మీటర్ 	(Mīṭar)	
mid- 	 మధ్య 	(Madhya)	
midday 	 మధ్యాహ్నము 	(Madhyāhnamu)	
middle 	 మధ్య 	(Madhya)	
midnight 	 అర్ధరాత్రి 	(Ardharātri)	
might 	 ఉండవచ్చు 	(Uṇḍavaccu)	
mild 	 తేలికపాటి 	(Tēlikapāṭi)	
mile 	 మైలు 	(Mailu)	
military 	 సైనిక 	(Sainika)	
milk 	 పాలు 	(Pālu)	
milligram 	 మిల్లీగ్రాము 	(Millīgrāmu)	
millimetre 	 మిల్లీమీటర్ 	(Millīmīṭar)	
million 	 మిలియన్ 	(Miliyan)	
millionth 	 మిలియన్ 	(Miliyan)	
mind 	 మనసు 	(Manasu)	
mine 	 నాది 	(Nādi)	
mineral 	 ఖనిజ 	(Khanija)	
minimum 	 కనీస 	(Kanīsa)	
minister 	 మంత్రి 	(Mantri)	
ministry 	 మంత్రిత్వ శాఖ 	(Mantritva śākha)	
minor 	 మైనర్ 	(Mainar)	
minority 	 మైనారిటీ 	(Maināriṭī)	
minute 1 	 నిమిషం 1 	(Nimiṣaṁ 1)	
mirror 	 అద్దం 	(Addaṁ)	
miss 	 మిస్ 	(Mis)	
missing 	 లేదు 	(Lēdu)	
miss out 	 మిస్ 	(Mis)	
mistake 	 పొరపాటు 	(Porapāṭu)	
mistake for 	 కోసం పొరపాటు 	(Kōsaṁ porapāṭu)	
mistaken 	 పొరబడ్డాను 	(Porabaḍḍānu)	
mix 	 కలపాలి 	(Kalapāli)	
mixed 	 మిశ్రమ 	(Miśrama)	
mixture 	 మిశ్రమం 	(Miśramaṁ)	
mix up 	 కలపాలి 	(Kalapāli)	
mobile 	 మొబైల్ 	(Mobail)	
mobile phone 	 మొబైల్ ఫోన్ 	(Mobail phōn)	
model 	 మోడల్ 	(Mōḍal)	
modern 	 ఆధునిక 	(Ādhunika)	
mom 	 అమ్మ 	(Am'ma)	
moment 	 క్షణం 	(Kṣaṇaṁ)	
Monday 	 సోమవారం 	(Sōmavāraṁ)	
money 	 డబ్బు 	(Ḍabbu)	
monitor 	 మానిటర్ 	(Māniṭar)	
month 	 నెల 	(Nela)	
mood 	 మానసిక స్థితి 	(Mānasika sthiti)	
moon 	 చంద్రుడు 	(Candruḍu)	
moral 	 నైతిక 	(Naitika)	
morally 	 నైతికంగా 	(Naitikaṅgā)	
more 	 మరింత 	(Marinta)	
moreover 	 పైగా 	(Paigā)	
morning 	 ఉదయం 	(Udayaṁ)	
most 	 అత్యంత 	(Atyanta)	
mostly 	 ఎక్కువగా 	(Ekkuvagā)	
mother 	 తల్లి 	(Talli)	
motion 	 చలనం 	(Calanaṁ)	
motor 	 మోటార్ 	(Mōṭār)	
motorbike 	 మోటార్ బైక్ 	(Mōṭār baik)	
motorcycle 	 మోటార్ సైకిల్ 	(Mōṭār saikil)	
mount 	 మౌంట్ 	(Mauṇṭ)	
mountain 	 పర్వతం 	(Parvataṁ)	
mouse 	 మౌస్ 	(Maus)	
mouth 	 నోరు 	(Nōru)	
move 	 తరలించు 	(Taralin̄cu)	
move in 	 లోపలికి వెళ్లండి 	(Lōpaliki veḷlaṇḍi)	
movement 	 ఉద్యమం 	(Udyamaṁ)	
move out 	 బయటకు తరలించు 	(Bayaṭaku taralin̄cu)	
move over 	 పైగా తరలించు 	(Paigā taralin̄cu)	
movie 	 సినిమా 	(Sinimā)	
movie theater 	 సినిమా థియేటర్ 	(Sinimā thiyēṭar)	
moving 	 కదులుతోంది 	(Kadulutōndi)	
Mr 	 Mr 	(Mr)	
Mrs 	 శ్రీమతి 	(Śrīmati)	
Ms 	 శ్రీమతి 	(Śrīmati)	
much 	 చాలా 	(Cālā)	
mud 	 బురద 	(Burada)	
multiply 	 గుణించాలి 	(Guṇin̄cāli)	
mum 	 అమ్మ 	(Am'ma)	
murder 	 హత్య 	(Hatya)	
muscle 	 కండరము 	(Kaṇḍaramu)	
museum 	 మ్యూజియం 	(Myūjiyaṁ)	
music 	 సంగీతం 	(Saṅgītaṁ)	
musical 	 సంగీతపరమైన 	(Saṅgītaparamaina)	
musician 	 సంగీతకారుడు 	(Saṅgītakāruḍu)	
must 	 తప్పక 	(Tappaka)	
my 	 నా 	(Nā)	
myself 	 నేనే 	(Nēnē)	
mysterious 	 రహస్యమైన 	(Rahasyamaina)	
mystery 	 రహస్యం 	(Rahasyaṁ)	
nail 	 గోరు 	(Gōru)	
naked 	 నగ్నంగా 	(Nagnaṅgā)	
name 	 పేరు 	(Pēru)	
narrow 	 ఇరుకైనది 	(Irukainadi)	
nation 	 దేశం 	(Dēśaṁ)	
national 	 జాతీయ 	(Jātīya)	
natural 	 సహజమైన 	(Sahajamaina)	
naturally 	 సహజంగా 	(Sahajaṅgā)	
nature 	 ప్రకృతి 	(Prakr̥ti)	
navy 	 నౌకాదళం 	(Naukādaḷaṁ)	
near 	 సమీపంలో 	(Samīpanlō)	
nearby 	 సమీపంలో 	(Samīpanlō)	
nearly 	 దాదాపు 	(Dādāpu)	
neat 	 చక్కగా 	(Cakkagā)	
neatly 	 చక్కగా 	(Cakkagā)	
necessarily 	 తప్పనిసరిగా 	(Tappanisarigā)	
necessary 	 అవసరమైన 	(Avasaramaina)	
neck 	 మెడ 	(Meḍa)	
need 	 అవసరం 	(Avasaraṁ)	
needle 	 సూది 	(Sūdi)	
negative 	 ప్రతికూల 	(Pratikūla)	
neighbour 	 పొరుగు 	(Porugu)	
neighbourhood 	 పొరుగు 	(Porugu)	
neither 	 కాదు 	(Kādu)	
nephew 	 మేనల్లుడు 	(Mēnalluḍu)	
nerve 	 నరము 	(Naramu)	
nervous 	 నాడీ 	(Nāḍī)	
nervously 	 భయంగా 	(Bhayaṅgā)	
nest 	 గూడు 	(Gūḍu)	
net 	 నికర 	(Nikara)	
network 	 నెట్వర్క్ 	(Neṭvark)	
never 	 ఎప్పుడూ 	(Eppuḍū)	
nevertheless 	 అయినప్పటికీ 	(Ayinappaṭikī)	
new 	 కొత్త 	(Kotta)	
newly 	 కొత్తగా 	(Kottagā)	
news 	 వార్తలు 	(Vārtalu)	
newspaper 	 వార్తాపత్రిక 	(Vārtāpatrika)	
next 	 తదుపరి 	(Tadupari)	
next to 	 పక్కన 	(Pakkana)	
nice 	 బాగుంది 	(Bāgundi)	
nicely 	 చక్కగా 	(Cakkagā)	
niece 	 మేనకోడలు 	(Mēnakōḍalu)	
night 	 రాత్రి 	(Rātri)	
nine 	 తొమ్మిది 	(Tom'midi)	
nineteen 	 పంతొమ్మిది 	(Pantom'midi)	
nineteenth 	 పంతొమ్మిదవ 	(Pantom'midava)	
ninetieth 	 తొంభైవది 	(Tombhaivadi)	
ninety 	 తొంభై 	(Tombhai)	
ninth 	 తొమ్మిదవ 	(Tom'midava)	
no 	 లేదు 	(Lēdu)	
nobody 	 ఎవరూ 	(Evarū)	
noise 	 శబ్దం 	(Śabdaṁ)	
noisily 	 సందడిగా 	(Sandaḍigā)	
noisy 	 సందడి 	(Sandaḍi)	
non- 	 కాని 	(Kāni)	
none 	 ఏదీ లేదు 	(Ēdī lēdu)	
nonsense 	 అర్ధంలేనిది 	(Ardhanlēnidi)	
no one 	 ఎవరూ 	(Evarū)	
nor 	 లేదా 	(Lēdā)	
normal 	 సాధారణ 	(Sādhāraṇa)	
normally 	 సాధారణంగా 	(Sādhāraṇaṅgā)	
north 	 ఉత్తరం 	(Uttaraṁ)	
northern 	 ఉత్తరాది 	(Uttarādi)	
nose 	 ముక్కు 	(Mukku)	
not 	 కాదు 	(Kādu)	
note 	 గమనించండి 	(Gamanin̄caṇḍi)	
note down 	 గమనించండి 	(Gamanin̄caṇḍi)	
nothing 	 ఏమీ లేదు 	(Ēmī lēdu)	
notice 	 నోటీసు 	(Nōṭīsu)	
noticeable 	 గమనించదగినది 	(Gamanin̄cadaginadi)	
novel 	 నవల 	(Navala)	
November 	 నవంబర్ 	(Navambar)	
now 	 ఇప్పుడు 	(Ippuḍu)	
nowhere 	 ఎక్కడా లేదు 	(Ekkaḍā lēdu)	
nuclear 	 అణు 	(Aṇu)	
number 	 సంఖ్య 	(Saṅkhya)	
nurse 	 నర్సు 	(Narsu)	
nut 	 గింజ 	(Gin̄ja)	
obey 	 పాటించండి 	(Pāṭin̄caṇḍi)	
object 	 వస్తువు 	(Vastuvu)	
objective 	 లక్ష్యం 	(Lakṣyaṁ)	
observation 	 పరిశీలన 	(Pariśīlana)	
observe 	 గమనించండి 	(Gamanin̄caṇḍi)	
obtain 	 పొందండి 	(Pondaṇḍi)	
obvious 	 స్పష్టమైన 	(Spaṣṭamaina)	
obviously 	 స్పష్టంగా 	(Spaṣṭaṅgā)	
occasion 	 సందర్భం 	(Sandarbhaṁ)	
occasionally 	 అప్పుడప్పుడు 	(Appuḍappuḍu)	
occupied 	 ఆక్రమించుకున్నారు 	(Ākramin̄cukunnāru)	
occupy 	 ఆక్రమిస్తాయి 	(Ākramistāyi)	
occur 	 సంభవిస్తాయి 	(Sambhavistāyi)	
occur to 	 ఏర్పడుతుంది 	(Ērpaḍutundi)	
ocean 	 సముద్రం 	(Samudraṁ)	
o’clock 	 గంట 	(Gaṇṭa)	
October 	 అక్టోబర్ 	(Akṭōbar)	
odd 	 బేసి 	(Bēsi)	
oddly 	 విచిత్రంగా 	(Vicitraṅgā)	
of 	 యొక్క 	(Yokka)	
off 	 ఆఫ్ 	(Āph)	
offence 	 నేరం 	(Nēraṁ)	
offend 	 నేరం 	(Nēraṁ)	
offense 	 నేరం 	(Nēraṁ)	
offensive 	 ప్రమాదకర 	(Pramādakara)	
offer 	 ఆఫర్ 	(Āphar)	
office 	 కార్యాలయం 	(Kāryālayaṁ)	
officer 	 అధికారి 	(Adhikāri)	
official 	 అధికారిక 	(Adhikārika)	
officially 	 అధికారికంగా 	(Adhikārikaṅgā)	
often 	 తరచుగా 	(Taracugā)	
oh 	 ఓహ్ 	(Ōh)	
oil 	 నూనె 	(Nūne)	
OK 	 సరే 	(Sarē)	
old 	 పాతది 	(Pātadi)	
old-fashioned 	 పాతకాలపు 	(Pātakālapu)	
on 	 న 	(Na)	
once 	 ఒకసారి 	(Okasāri)	
one 	 ఒకటి 	(Okaṭi)	
one another 	 ఒకరినొకరు 	(Okarinokaru)	
onion 	 ఉల్లిపాయ 	(Ullipāya)	
online 	 ఆన్లైన్ 	(Ānlain)	
only 	 మాత్రమే 	(Mātramē)	
onto 	 పై 	(Pai)	
open 	 తెరవండి 	(Teravaṇḍi)	
opening 	 తెరవడం 	(Teravaḍaṁ)	
openly 	 బహిరంగంగా 	(Bahiraṅgaṅgā)	
open up 	 తెరవండి 	(Teravaṇḍi)	
operate 	 పనిచేస్తాయి 	(Panicēstāyi)	
operation 	 ఆపరేషన్ 	(Āparēṣan)	
opinion 	 అభిప్రాయం 	(Abhiprāyaṁ)	
opponent 	 ప్రత్యర్థి 	(Pratyarthi)	
opportunity 	 అవకాశం 	(Avakāśaṁ)	
oppose 	 వ్యతిరేకించండి 	(Vyatirēkin̄caṇḍi)	
opposed 	 వ్యతిరేకించారు 	(Vyatirēkin̄cāru)	
opposing 	 వ్యతిరేకిస్తున్నారు 	(Vyatirēkistunnāru)	
opposite 	 ఎదురుగా 	(Edurugā)	
opposition 	 వ్యతిరేకత 	(Vyatirēkata)	
option 	 ఎంపిక 	(Empika)	
or 	 లేదా 	(Lēdā)	
orange 	 నారింజ 	(Nārin̄ja)	
order 	 ఆర్డర్ 	(Ārḍar)	
ordinary 	 సాధారణ 	(Sādhāraṇa)	
organ 	 అవయవం 	(Avayavaṁ)	
organization 	 సంస్థ 	(Sanstha)	
organize 	 నిర్వహించండి 	(Nirvahin̄caṇḍi)	
organized 	 నిర్వహించారు 	(Nirvahin̄cāru)	
origin 	 మూలం 	(Mūlaṁ)	
original 	 అసలు 	(Asalu)	
originally 	 అసలైన 	(Asalaina)	
other 	 ఇతర 	(Itara)	
otherwise 	 లేకుంటే 	(Lēkuṇṭē)	
ought to 	 తప్పక 	(Tappaka)	
our 	 మా 	(Mā)	
ours 	 మాది 	(Mādi)	
ourselves 	 మనమే 	(Manamē)	
out 	 బయటకు 	(Bayaṭaku)	
outdoor 	 బాహ్య 	(Bāhya)	
outdoors 	 ఆరుబయట 	(Ārubayaṭa)	
outer 	 బయటి 	(Bayaṭi)	
outline 	 రూపురేఖలు 	(Rūpurēkhalu)	
output 	 అవుట్పుట్ 	(Avuṭpuṭ)	
outside 	 బయట 	(Bayaṭa)	
outstanding 	 అత్యుత్తమమైనది 	(Atyuttamamainadi)	
oven 	 పొయ్యి 	(Poyyi)	
over 	 పైగా 	(Paigā)	
overall 	 మొత్తం 	(Mottaṁ)	
overcome 	 అధిగమించడానికి 	(Adhigamin̄caḍāniki)	
owe 	 ఋణపడి ఉన్నారు 	(R̥ṇapaḍi unnāru)	
own 	 స్వంతం 	(Svantaṁ)	
owner 	 యజమాని 	(Yajamāni)	
own up 	 సొంతం చేసుకుంటారు 	(Sontaṁ cēsukuṇṭāru)	
pace 1 	 పేస్ 1 	(Pēs 1)	
pack 	 ప్యాక్ 	(Pyāk)	
package 	 ప్యాకేజీ 	(Pyākējī)	
packaging 	 ప్యాకేజింగ్ 	(Pyākējiṅg)	
packet 	 ప్యాకెట్ 	(Pyākeṭ)	
pack up 	 సర్దుకోండి 	(Sardukōṇḍi)	
page 	 పేజీ 	(Pējī)	
pain 	 నొప్పి 	(Noppi)	
painful 	 బాధాకరమైన 	(Bādhākaramaina)	
paint 	 పెయింట్ 	(Peyiṇṭ)	
painter 	 చిత్రకారుడు 	(Citrakāruḍu)	
painting 	 పెయింటింగ్ 	(Peyiṇṭiṅg)	
pair 	 జత 	(Jata)	
palace 	 రాజభవనం 	(Rājabhavanaṁ)	
pale 	 లేత 	(Lēta)	
pan 1 	 పాన్ 1 	(Pān 1)	
panel 	 ప్యానెల్ 	(Pyānel)	
pants 	 ప్యాంటు 	(Pyāṇṭu)	
paper 	 కాగితం 	(Kāgitaṁ)	
parallel 	 సమాంతరంగా 	(Samāntaraṅgā)	
parent 	 తల్లిదండ్రులు 	(Tallidaṇḍrulu)	
park 	 పార్క్ 	(Pārk)	
parliament 	 పార్లమెంటు 	(Pārlameṇṭu)	
part 	 భాగం 	(Bhāgaṁ)	
particular 	 ప్రత్యేకంగా 	(Pratyēkaṅgā)	
particularly 	 ముఖ్యంగా 	(Mukhyaṅgā)	
partly 	 పాక్షికంగా 	(Pākṣikaṅgā)	
partner 	 భాగస్వామి 	(Bhāgasvāmi)	
partnership 	 భాగస్వామ్యం 	(Bhāgasvāmyaṁ)	
party 	 పార్టీ 	(Pārṭī)	
pass 	 పాస్ 	(Pās)	
passage 	 ప్రకరణము 	(Prakaraṇamu)	
pass away 	 గతించు 	(Gatin̄cu)	
pass by 	 దాటి వెళ్ళు 	(Dāṭi veḷḷu)	
passenger 	 ప్రయాణీకుడు 	(Prayāṇīkuḍu)	
passing 	 ఉత్తీర్ణత 	(Uttīrṇata)	
pass on 	 పాస్ 	(Pās)	
pass out 	 పాస్ అవుట్ 	(Pās avuṭ)	
passport 	 పాస్పోర్ట్ 	(Pāspōrṭ)	
pass round 	 రౌండ్ పాస్ 	(Rauṇḍ pās)	
pass through 	 గుండా 	(Guṇḍā)	
past 	 గత 	(Gata)	
path 	 మార్గం 	(Mārgaṁ)	
patience 	 సహనం 	(Sahanaṁ)	
patient 	 రోగి 	(Rōgi)	
pattern 	 నమూనా 	(Namūnā)	
pause 	 విరామం 	(Virāmaṁ)	
pay 	 చెల్లించాలి 	(Cellin̄cāli)	
pay back 	 తిరిగి చెల్లించు 	(Tirigi cellin̄cu)	
payment 	 చెల్లింపు 	(Cellimpu)	
pay out 	 చెల్లించండి 	(Cellin̄caṇḍi)	
