a	ఒక	oka	[sound:ఒక_google_female.mp3]
next to	పక్కన	pakkana	[sound:పక్కన_google_female.mp3]
nice	బాగుంది	bāgundi	[sound:బాగుంది_google_female.mp3]
nicely	చక్కగా	cakkagā	[sound:చక్కగా_google_female.mp3]
niece	మేనకోడలు	mēnakōḍalu	[sound:మేనకోడలు_google_female.mp3]
night	రాత్రి	rātri	[sound:రాత్రి_google_female.mp3]
nine	తొమ్మిది	tom'midi	[sound:తొమ్మిది_google_female.mp3]
nineteen	పంతొమ్మిది	pantom'midi	[sound:పంతొమ్మిది_google_female.mp3]
nineteenth	పంతొమ్మిదవ	pantom'midava	[sound:పంతొమ్మిదవ_google_female.mp3]
ninetieth	తొంభైవది	tombhaivadi	[sound:తొంభైవది_google_female.mp3]
ninety	తొంభై	tombhai	[sound:తొంభై_google_female.mp3]
ninth	తొమ్మిదవ	tom'midava	[sound:తొమ్మిదవ_google_female.mp3]
no	లేదు	lēdu	[sound:లేదు_google_female.mp3]
nobody	ఎవరూ	evarū	[sound:ఎవరూ_google_female.mp3]
noise	శబ్దం	śabdaṁ	[sound:శబ్దం_google_female.mp3]
noisily	సందడిగా	sandaḍigā	[sound:సందడిగా_google_female.mp3]
noisy	సందడి	sandaḍi	[sound:సందడి_google_female.mp3]
non-	కాని	kāni	[sound:కాని_google_female.mp3]
none	ఏదీ లేదు	ēdī lēdu	[sound:ఏదీ లేదు_google_female.mp3]
nonsense	అర్ధంలేనిది	ardhanlēnidi	[sound:అర్ధంలేనిది_google_female.mp3]
no one	ఎవరూ	evarū	[sound:ఎవరూ_google_female.mp3]
nor	లేదా	lēdā	[sound:లేదా_google_female.mp3]
normal	సాధారణ	sādhāraṇa	[sound:సాధారణ_google_female.mp3]
normally	సాధారణంగా	sādhāraṇaṅgā	[sound:సాధారణంగా_google_female.mp3]
north	ఉత్తరం	uttaraṁ	[sound:ఉత్తరం_google_female.mp3]
northern	ఉత్తరాది	uttarādi	[sound:ఉత్తరాది_google_female.mp3]
nose	ముక్కు	mukku	[sound:ముక్కు_google_female.mp3]
not	కాదు	kādu	[sound:కాదు_google_female.mp3]
note	గమనించండి	gamanin̄caṇḍi	[sound:గమనించండి_google_female.mp3]
note down	గమనించండి	gamanin̄caṇḍi	[sound:గమనించండి_google_female.mp3]
nothing	ఏమీ లేదు	ēmī lēdu	[sound:ఏమీ లేదు_google_female.mp3]
notice	నోటీసు	nōṭīsu	[sound:నోటీసు_google_female.mp3]
noticeable	గమనించదగినది	gamanin̄cadaginadi	[sound:గమనించదగినది_google_female.mp3]
novel	నవల	navala	[sound:నవల_google_female.mp3]
November	నవంబర్	navambar	[sound:నవంబర్_google_female.mp3]
now	ఇప్పుడు	ippuḍu	[sound:ఇప్పుడు_google_female.mp3]
nowhere	ఎక్కడా లేదు	ekkaḍā lēdu	[sound:ఎక్కడా లేదు_google_female.mp3]
nuclear	అణు	aṇu	[sound:అణు_google_female.mp3]
number	సంఖ్య	saṅkhya	[sound:సంఖ్య_google_female.mp3]
nurse	నర్సు	narsu	[sound:నర్సు_google_female.mp3]
nut	గింజ	gin̄ja	[sound:గింజ_google_female.mp3]
obey	పాటించండి	pāṭin̄caṇḍi	[sound:పాటించండి_google_female.mp3]
object	వస్తువు	vastuvu	[sound:వస్తువు_google_female.mp3]
objective	లక్ష్యం	lakṣyaṁ	[sound:లక్ష్యం_google_female.mp3]
observation	పరిశీలన	pariśīlana	[sound:పరిశీలన_google_female.mp3]
observe	గమనించండి	gamanin̄caṇḍi	[sound:గమనించండి_google_female.mp3]
obtain	పొందండి	pondaṇḍi	[sound:పొందండి_google_female.mp3]
obvious	స్పష్టమైన	spaṣṭamaina	[sound:స్పష్టమైన_google_female.mp3]
obviously	స్పష్టంగా	spaṣṭaṅgā	[sound:స్పష్టంగా_google_female.mp3]
occasion	సందర్భం	sandarbhaṁ	[sound:సందర్భం_google_female.mp3]
occasionally	అప్పుడప్పుడు	appuḍappuḍu	[sound:అప్పుడప్పుడు_google_female.mp3]
occupied	ఆక్రమించుకున్నారు	ākramin̄cukunnāru	[sound:ఆక్రమించుకున్నారు_google_female.mp3]
occupy	ఆక్రమిస్తాయి	ākramistāyi	[sound:ఆక్రమిస్తాయి_google_female.mp3]
occur	సంభవిస్తాయి	sambhavistāyi	[sound:సంభవిస్తాయి_google_female.mp3]
occur to	ఏర్పడుతుంది	ērpaḍutundi	[sound:ఏర్పడుతుంది_google_female.mp3]
ocean	సముద్రం	samudraṁ	[sound:సముద్రం_google_female.mp3]
o’clock	గంట	gaṇṭa	[sound:గంట_google_female.mp3]
October	అక్టోబర్	akṭōbar	[sound:అక్టోబర్_google_female.mp3]
odd	బేసి	bēsi	[sound:బేసి_google_female.mp3]
oddly	విచిత్రంగా	vicitraṅgā	[sound:విచిత్రంగా_google_female.mp3]
of	యొక్క	yokka	[sound:యొక్క_google_female.mp3]
off	ఆఫ్	āph	[sound:ఆఫ్_google_female.mp3]
offence	నేరం	nēraṁ	[sound:నేరం_google_female.mp3]
offend	నేరం	nēraṁ	[sound:నేరం_google_female.mp3]
offense	నేరం	nēraṁ	[sound:నేరం_google_female.mp3]
offensive	ప్రమాదకర	pramādakara	[sound:ప్రమాదకర_google_female.mp3]
offer	ఆఫర్	āphar	[sound:ఆఫర్_google_female.mp3]
office	కార్యాలయం	kāryālayaṁ	[sound:కార్యాలయం_google_female.mp3]
officer	అధికారి	adhikāri	[sound:అధికారి_google_female.mp3]
official	అధికారిక	adhikārika	[sound:అధికారిక_google_female.mp3]
officially	అధికారికంగా	adhikārikaṅgā	[sound:అధికారికంగా_google_female.mp3]
often	తరచుగా	taracugā	[sound:తరచుగా_google_female.mp3]
oh	ఓహ్	ōh	[sound:ఓహ్_google_female.mp3]
oil	నూనె	nūne	[sound:నూనె_google_female.mp3]
OK	సరే	sarē	[sound:సరే_google_female.mp3]
old	పాతది	pātadi	[sound:పాతది_google_female.mp3]
old-fashioned	పాతకాలపు	pātakālapu	[sound:పాతకాలపు_google_female.mp3]
on	న	na	[sound:న_google_female.mp3]
once	ఒకసారి	okasāri	[sound:ఒకసారి_google_female.mp3]
one	ఒకటి	okaṭi	[sound:ఒకటి_google_female.mp3]
one another	ఒకరినొకరు	okarinokaru	[sound:ఒకరినొకరు_google_female.mp3]
onion	ఉల్లిపాయ	ullipāya	[sound:ఉల్లిపాయ_google_female.mp3]
online	ఆన్లైన్	ānlain	[sound:ఆన్లైన్_google_female.mp3]
only	మాత్రమే	mātramē	[sound:మాత్రమే_google_female.mp3]
onto	పై	pai	[sound:పై_google_female.mp3]
open	తెరవండి	teravaṇḍi	[sound:తెరవండి_google_female.mp3]
opening	తెరవడం	teravaḍaṁ	[sound:తెరవడం_google_female.mp3]
openly	బహిరంగంగా	bahiraṅgaṅgā	[sound:బహిరంగంగా_google_female.mp3]
open up	తెరవండి	teravaṇḍi	[sound:తెరవండి_google_female.mp3]
operate	పనిచేస్తాయి	panicēstāyi	[sound:పనిచేస్తాయి_google_female.mp3]
operation	ఆపరేషన్	āparēṣan	[sound:ఆపరేషన్_google_female.mp3]
opinion	అభిప్రాయం	abhiprāyaṁ	[sound:అభిప్రాయం_google_female.mp3]
opponent	ప్రత్యర్థి	pratyarthi	[sound:ప్రత్యర్థి_google_female.mp3]
opportunity	అవకాశం	avakāśaṁ	[sound:అవకాశం_google_female.mp3]
oppose	వ్యతిరేకించండి	vyatirēkin̄caṇḍi	[sound:వ్యతిరేకించండి_google_female.mp3]
opposed	వ్యతిరేకించారు	vyatirēkin̄cāru	[sound:వ్యతిరేకించారు_google_female.mp3]
opposing	వ్యతిరేకిస్తున్నారు	vyatirēkistunnāru	[sound:వ్యతిరేకిస్తున్నారు_google_female.mp3]
opposite	ఎదురుగా	edurugā	[sound:ఎదురుగా_google_female.mp3]
opposition	వ్యతిరేకత	vyatirēkata	[sound:వ్యతిరేకత_google_female.mp3]
option	ఎంపిక	empika	[sound:ఎంపిక_google_female.mp3]
or	లేదా	lēdā	[sound:లేదా_google_female.mp3]
orange	నారింజ	nārin̄ja	[sound:నారింజ_google_female.mp3]
order	ఆర్డర్	ārḍar	[sound:ఆర్డర్_google_female.mp3]
ordinary	సాధారణ	sādhāraṇa	[sound:సాధారణ_google_female.mp3]
organ	అవయవం	avayavaṁ	[sound:అవయవం_google_female.mp3]
organization	సంస్థ	sanstha	[sound:సంస్థ_google_female.mp3]
organize	నిర్వహించండి	nirvahin̄caṇḍi	[sound:నిర్వహించండి_google_female.mp3]
organized	నిర్వహించారు	nirvahin̄cāru	[sound:నిర్వహించారు_google_female.mp3]
origin	మూలం	mūlaṁ	[sound:మూలం_google_female.mp3]
original	అసలు	asalu	[sound:అసలు_google_female.mp3]
originally	అసలైన	asalaina	[sound:అసలైన_google_female.mp3]
other	ఇతర	itara	[sound:ఇతర_google_female.mp3]
otherwise	లేకుంటే	lēkuṇṭē	[sound:లేకుంటే_google_female.mp3]
ought to	తప్పక	tappaka	[sound:తప్పక_google_female.mp3]
our	మా	mā	[sound:మా_google_female.mp3]
ours	మాది	mādi	[sound:మాది_google_female.mp3]
ourselves	మనమే	manamē	[sound:మనమే_google_female.mp3]
out	బయటకు	bayaṭaku	[sound:బయటకు_google_female.mp3]
outdoor	బాహ్య	bāhya	[sound:బాహ్య_google_female.mp3]
outdoors	ఆరుబయట	ārubayaṭa	[sound:ఆరుబయట_google_female.mp3]
outer	బయటి	bayaṭi	[sound:బయటి_google_female.mp3]
outline	రూపురేఖలు	rūpurēkhalu	[sound:రూపురేఖలు_google_female.mp3]
output	అవుట్పుట్	avuṭpuṭ	[sound:అవుట్పుట్_google_female.mp3]
outside	బయట	bayaṭa	[sound:బయట_google_female.mp3]
outstanding	అత్యుత్తమమైనది	atyuttamamainadi	[sound:అత్యుత్తమమైనది_google_female.mp3]
oven	పొయ్యి	poyyi	[sound:పొయ్యి_google_female.mp3]
over	పైగా	paigā	[sound:పైగా_google_female.mp3]
overall	మొత్తం	mottaṁ	[sound:మొత్తం_google_female.mp3]
overcome	అధిగమించడానికి	adhigamin̄caḍāniki	[sound:అధిగమించడానికి_google_female.mp3]
owe	ఋణపడి ఉన్నారు	r̥ṇapaḍi unnāru	[sound:ఋణపడి ఉన్నారు_google_female.mp3]
own	స్వంతం	svantaṁ	[sound:స్వంతం_google_female.mp3]
owner	యజమాని	yajamāni	[sound:యజమాని_google_female.mp3]
own up	సొంతం చేసుకుంటారు	sontaṁ cēsukuṇṭāru	[sound:సొంతం చేసుకుంటారు_google_female.mp3]
pace 1	పేస్ 1	pēs 1	[sound:పేస్ 1_google_female.mp3]
pack	ప్యాక్	pyāk	[sound:ప్యాక్_google_female.mp3]
package	ప్యాకేజీ	pyākējī	[sound:ప్యాకేజీ_google_female.mp3]
packaging	ప్యాకేజింగ్	pyākējiṅg	[sound:ప్యాకేజింగ్_google_female.mp3]
packet	ప్యాకెట్	pyākeṭ	[sound:ప్యాకెట్_google_female.mp3]
pack up	సర్దుకోండి	sardukōṇḍi	[sound:సర్దుకోండి_google_female.mp3]
page	పేజీ	pējī	[sound:పేజీ_google_female.mp3]
pain	నొప్పి	noppi	[sound:నొప్పి_google_female.mp3]
painful	బాధాకరమైన	bādhākaramaina	[sound:బాధాకరమైన_google_female.mp3]
paint	పెయింట్	peyiṇṭ	[sound:పెయింట్_google_female.mp3]
painter	చిత్రకారుడు	citrakāruḍu	[sound:చిత్రకారుడు_google_female.mp3]
painting	పెయింటింగ్	peyiṇṭiṅg	[sound:పెయింటింగ్_google_female.mp3]
pair	జత	jata	[sound:జత_google_female.mp3]
palace	రాజభవనం	rājabhavanaṁ	[sound:రాజభవనం_google_female.mp3]
pale	లేత	lēta	[sound:లేత_google_female.mp3]
pan 1	పాన్ 1	pān 1	[sound:పాన్ 1_google_female.mp3]
panel	ప్యానెల్	pyānel	[sound:ప్యానెల్_google_female.mp3]
pants	ప్యాంటు	pyāṇṭu	[sound:ప్యాంటు_google_female.mp3]
paper	కాగితం	kāgitaṁ	[sound:కాగితం_google_female.mp3]
parallel	సమాంతరంగా	samāntaraṅgā	[sound:సమాంతరంగా_google_female.mp3]
parent	తల్లిదండ్రులు	tallidaṇḍrulu	[sound:తల్లిదండ్రులు_google_female.mp3]
park	పార్క్	pārk	[sound:పార్క్_google_female.mp3]
parliament	పార్లమెంటు	pārlameṇṭu	[sound:పార్లమెంటు_google_female.mp3]
part	భాగం	bhāgaṁ	[sound:భాగం_google_female.mp3]
particular	ప్రత్యేకంగా	pratyēkaṅgā	[sound:ప్రత్యేకంగా_google_female.mp3]
particularly	ముఖ్యంగా	mukhyaṅgā	[sound:ముఖ్యంగా_google_female.mp3]
partly	పాక్షికంగా	pākṣikaṅgā	[sound:పాక్షికంగా_google_female.mp3]
partner	భాగస్వామి	bhāgasvāmi	[sound:భాగస్వామి_google_female.mp3]
partnership	భాగస్వామ్యం	bhāgasvāmyaṁ	[sound:భాగస్వామ్యం_google_female.mp3]
party	పార్టీ	pārṭī	[sound:పార్టీ_google_female.mp3]
pass	పాస్	pās	[sound:పాస్_google_female.mp3]
passage	ప్రకరణము	prakaraṇamu	[sound:ప్రకరణము_google_female.mp3]
pass away	గతించు	gatin̄cu	[sound:గతించు_google_female.mp3]
pass by	దాటి వెళ్ళు	dāṭi veḷḷu	[sound:దాటి వెళ్ళు_google_female.mp3]
passenger	ప్రయాణీకుడు	prayāṇīkuḍu	[sound:ప్రయాణీకుడు_google_female.mp3]
passing	ఉత్తీర్ణత	uttīrṇata	[sound:ఉత్తీర్ణత_google_female.mp3]
pass on	పాస్	pās	[sound:పాస్_google_female.mp3]
pass out	పాస్ అవుట్	pās avuṭ	[sound:పాస్ అవుట్_google_female.mp3]
passport	పాస్పోర్ట్	pāspōrṭ	[sound:పాస్పోర్ట్_google_female.mp3]
pass round	రౌండ్ పాస్	rauṇḍ pās	[sound:రౌండ్ పాస్_google_female.mp3]
pass through	గుండా	guṇḍā	[sound:గుండా_google_female.mp3]
past	గత	gata	[sound:గత_google_female.mp3]
path	మార్గం	mārgaṁ	[sound:మార్గం_google_female.mp3]
patience	సహనం	sahanaṁ	[sound:సహనం_google_female.mp3]
patient	రోగి	rōgi	[sound:రోగి_google_female.mp3]
pattern	నమూనా	namūnā	[sound:నమూనా_google_female.mp3]
pause	విరామం	virāmaṁ	[sound:విరామం_google_female.mp3]
pay	చెల్లించాలి	cellin̄cāli	[sound:చెల్లించాలి_google_female.mp3]
pay back	తిరిగి చెల్లించు	tirigi cellin̄cu	[sound:తిరిగి చెల్లించు_google_female.mp3]
payment	చెల్లింపు	cellimpu	[sound:చెల్లింపు_google_female.mp3]
pay out	చెల్లించండి	cellin̄caṇḍi	[sound:చెల్లించండి_google_female.mp3]
pay up	చెల్లించండి	cellin̄caṇḍi	[sound:చెల్లించండి_google_female.mp3]
peace	శాంతి	śānti	[sound:శాంతి_google_female.mp3]
peaceful	శాంతియుతమైనది	śāntiyutamainadi	[sound:శాంతియుతమైనది_google_female.mp3]
peak	శిఖరం	śikharaṁ	[sound:శిఖరం_google_female.mp3]
pen	కలం	kalaṁ	[sound:కలం_google_female.mp3]
pencil	పెన్సిల్	pensil	[sound:పెన్సిల్_google_female.mp3]
penny	పెన్నీ	pennī	[sound:పెన్నీ_google_female.mp3]
pension 1	పెన్షన్ 1	penṣan 1	[sound:పెన్షన్ 1_google_female.mp3]
people	ప్రజలు	prajalu	[sound:ప్రజలు_google_female.mp3]
pepper	మిరియాలు	miriyālu	[sound:మిరియాలు_google_female.mp3]
per	ప్రతి	prati	[sound:ప్రతి_google_female.mp3]
per cent	శాతం	śātaṁ	[sound:శాతం_google_female.mp3]
perfect	పరిపూర్ణమైనది	paripūrṇamainadi	[sound:పరిపూర్ణమైనది_google_female.mp3]
perfectly	సంపూర్ణంగా	sampūrṇaṅgā	[sound:సంపూర్ణంగా_google_female.mp3]
perform	నిర్వహిస్తారు	nirvahistāru	[sound:నిర్వహిస్తారు_google_female.mp3]
performance	పనితీరు	panitīru	[sound:పనితీరు_google_female.mp3]
performer	ప్రదర్శకుడు	pradarśakuḍu	[sound:ప్రదర్శకుడు_google_female.mp3]
perhaps	బహుశా	bahuśā	[sound:బహుశా_google_female.mp3]
period	కాలం	kālaṁ	[sound:కాలం_google_female.mp3]
permanent	శాశ్వత	śāśvata	[sound:శాశ్వత_google_female.mp3]
permanently	శాశ్వతంగా	śāśvataṅgā	[sound:శాశ్వతంగా_google_female.mp3]
permission	అనుమతి	anumati	[sound:అనుమతి_google_female.mp3]
permit	అనుమతి	anumati	[sound:అనుమతి_google_female.mp3]
person	వ్యక్తి	vyakti	[sound:వ్యక్తి_google_female.mp3]
personal	వ్యక్తిగత	vyaktigata	[sound:వ్యక్తిగత_google_female.mp3]
personality	వ్యక్తిత్వం	vyaktitvaṁ	[sound:వ్యక్తిత్వం_google_female.mp3]
personally	వ్యక్తిగతంగా	vyaktigataṅgā	[sound:వ్యక్తిగతంగా_google_female.mp3]
persuade	ఒప్పించండి	oppin̄caṇḍi	[sound:ఒప్పించండి_google_female.mp3]
pet	పెంపుడు జంతువు	pempuḍu jantuvu	[sound:పెంపుడు జంతువు_google_female.mp3]
petrol	పెట్రోల్	peṭrōl	[sound:పెట్రోల్_google_female.mp3]
phase	దశ	daśa	[sound:దశ_google_female.mp3]
philosophy	తత్వశాస్త్రం	tatvaśāstraṁ	[sound:తత్వశాస్త్రం_google_female.mp3]
phone	ఫోన్	phōn	[sound:ఫోన్_google_female.mp3]
photo	ఫోటో	phōṭō	[sound:ఫోటో_google_female.mp3]
photocopy	ఫోటోకాపీ	phōṭōkāpī	[sound:ఫోటోకాపీ_google_female.mp3]
photograph	ఫోటో	phōṭō	[sound:ఫోటో_google_female.mp3]
photographer	ఫోటోగ్రాఫర్	phōṭōgrāphar	[sound:ఫోటోగ్రాఫర్_google_female.mp3]
photography	ఫోటోగ్రఫీ	phōṭōgraphī	[sound:ఫోటోగ్రఫీ_google_female.mp3]
phrase	పదబంధం	padabandhaṁ	[sound:పదబంధం_google_female.mp3]
physical	భౌతిక	bhautika	[sound:భౌతిక_google_female.mp3]
physically	భౌతికంగా	bhautikaṅgā	[sound:భౌతికంగా_google_female.mp3]
physics	భౌతిక శాస్త్రం	bhautika śāstraṁ	[sound:భౌతిక శాస్త్రం_google_female.mp3]
piano	పియానో	piyānō	[sound:పియానో_google_female.mp3]
pick	ఎంచుకోండి	en̄cukōṇḍi	[sound:ఎంచుకోండి_google_female.mp3]
pick up	తీయండి	tīyaṇḍi	[sound:తీయండి_google_female.mp3]
picture	చిత్రం	citraṁ	[sound:చిత్రం_google_female.mp3]
piece	ముక్క	mukka	[sound:ముక్క_google_female.mp3]
pig	పంది	pandi	[sound:పంది_google_female.mp3]
pile	కుప్ప	kuppa	[sound:కుప్ప_google_female.mp3]
pile up	పోగు	pōgu	[sound:పోగు_google_female.mp3]
pill	మాత్ర	mātra	[sound:మాత్ర_google_female.mp3]
pilot	పైలట్	pailaṭ	[sound:పైలట్_google_female.mp3]
pin	పిన్	pin	[sound:పిన్_google_female.mp3]
pink	గులాబీ రంగు	gulābī raṅgu	[sound:గులాబీ రంగు_google_female.mp3]
pint	పింట్	piṇṭ	[sound:పింట్_google_female.mp3]
pipe	పైపు	paipu	[sound:పైపు_google_female.mp3]
pitch	పిచ్	pic	[sound:పిచ్_google_female.mp3]
pity	జాలి	jāli	[sound:జాలి_google_female.mp3]
place	స్థలం	sthalaṁ	[sound:స్థలం_google_female.mp3]
plain	సాదా	sādā	[sound:సాదా_google_female.mp3]
plan	ప్రణాళిక	praṇāḷika	[sound:ప్రణాళిక_google_female.mp3]
plane	విమానం	vimānaṁ	[sound:విమానం_google_female.mp3]
planet	గ్రహం	grahaṁ	[sound:గ్రహం_google_female.mp3]
planning	ప్రణాళిక	praṇāḷika	[sound:ప్రణాళిక_google_female.mp3]
plant	మొక్క	mokka	[sound:మొక్క_google_female.mp3]
plastic	ప్లాస్టిక్	plāsṭik	[sound:ప్లాస్టిక్_google_female.mp3]
plate	ప్లేట్	plēṭ	[sound:ప్లేట్_google_female.mp3]
platform	వేదిక	vēdika	[sound:వేదిక_google_female.mp3]
play	ఆడండి	āḍaṇḍi	[sound:ఆడండి_google_female.mp3]
play about	గురించి ప్లే	gurin̄ci plē	[sound:గురించి ప్లే_google_female.mp3]
player	ఆటగాడు	āṭagāḍu	[sound:ఆటగాడు_google_female.mp3]
play with	తో ఆడుకోండి	tō āḍukōṇḍi	[sound:తో ఆడుకోండి_google_female.mp3]
pleasant	ఆహ్లాదకరమైన	āhlādakaramaina	[sound:ఆహ్లాదకరమైన_google_female.mp3]
pleasantly	ఆహ్లాదకరంగా	āhlādakaraṅgā	[sound:ఆహ్లాదకరంగా_google_female.mp3]
please	దయచేసి	dayacēsi	[sound:దయచేసి_google_female.mp3]
pleased	సంతోషించారు	santōṣin̄cāru	[sound:సంతోషించారు_google_female.mp3]
pleasing	ఆహ్లాదకరమైన	āhlādakaramaina	[sound:ఆహ్లాదకరమైన_google_female.mp3]
pleasure	ఆనందం	ānandaṁ	[sound:ఆనందం_google_female.mp3]
plenty	పుష్కలంగా	puṣkalaṅgā	[sound:పుష్కలంగా_google_female.mp3]
plot	ప్లాట్లు	plāṭlu	[sound:ప్లాట్లు_google_female.mp3]
plug	ప్లగ్	plag	[sound:ప్లగ్_google_female.mp3]
plug in	ప్లగ్ ఇన్ చేయండి	plag in cēyaṇḍi	[sound:ప్లగ్ ఇన్ చేయండి_google_female.mp3]
plus 1	ప్లస్ 1	plas 1	[sound:ప్లస్ 1_google_female.mp3]
p.m.	p.m.	p.M.	[sound:p.m._google_female.mp3]
pocket	జేబు	jēbu	[sound:జేబు_google_female.mp3]
poem	పద్యం	padyaṁ	[sound:పద్యం_google_female.mp3]
poetry	కవిత్వం	kavitvaṁ	[sound:కవిత్వం_google_female.mp3]
point	పాయింట్	pāyiṇṭ	[sound:పాయింట్_google_female.mp3]
pointed	ఎత్తి చూపారు	etti cūpāru	[sound:ఎత్తి చూపారు_google_female.mp3]
point out	ఎత్తి చూపుతారు	etti cūputāru	[sound:ఎత్తి చూపుతారు_google_female.mp3]
poison	విషం	viṣaṁ	[sound:విషం_google_female.mp3]
poisonous	విషపూరితమైన	viṣapūritamaina	[sound:విషపూరితమైన_google_female.mp3]
pole	పోల్	pōl	[sound:పోల్_google_female.mp3]
police	పోలీసు	pōlīsu	[sound:పోలీసు_google_female.mp3]
policy	విధానం	vidhānaṁ	[sound:విధానం_google_female.mp3]
polish	పాలిష్	pāliṣ	[sound:పాలిష్_google_female.mp3]
polite	మర్యాదపూర్వకమైన	maryādapūrvakamaina	[sound:మర్యాదపూర్వకమైన_google_female.mp3]
politely	మర్యాదగా	maryādagā	[sound:మర్యాదగా_google_female.mp3]
political	రాజకీయ	rājakīya	[sound:రాజకీయ_google_female.mp3]
politically	రాజకీయంగా	rājakīyaṅgā	[sound:రాజకీయంగా_google_female.mp3]
politician	రాజకీయ నాయకుడు	rājakīya nāyakuḍu	[sound:రాజకీయ నాయకుడు_google_female.mp3]
politics	రాజకీయాలు	rājakīyālu	[sound:రాజకీయాలు_google_female.mp3]
pollution	కాలుష్యం	kāluṣyaṁ	[sound:కాలుష్యం_google_female.mp3]
pool	కొలను	kolanu	[sound:కొలను_google_female.mp3]
poor	పేదవాడు	pēdavāḍu	[sound:పేదవాడు_google_female.mp3]
pop	పాప్	pāp	[sound:పాప్_google_female.mp3]
popular	ప్రజాదరణ పొందింది	prajādaraṇa pondindi	[sound:ప్రజాదరణ పొందింది_google_female.mp3]
population	జనాభా	janābhā	[sound:జనాభా_google_female.mp3]
port	ఓడరేవు	ōḍarēvu	[sound:ఓడరేవు_google_female.mp3]
pose	భంగిమలో	bhaṅgimalō	[sound:భంగిమలో_google_female.mp3]
position	స్థానం	sthānaṁ	[sound:స్థానం_google_female.mp3]
positive	సానుకూల	sānukūla	[sound:సానుకూల_google_female.mp3]
possess	కలిగి ఉంటాయి	kaligi uṇṭāyi	[sound:కలిగి ఉంటాయి_google_female.mp3]
possession	స్వాధీనం	svādhīnaṁ	[sound:స్వాధీనం_google_female.mp3]
possibility	అవకాశం	avakāśaṁ	[sound:అవకాశం_google_female.mp3]
possible	సాధ్యం	sādhyaṁ	[sound:సాధ్యం_google_female.mp3]
possibly	బహుశా	bahuśā	[sound:బహుశా_google_female.mp3]
post	పోస్ట్	pōsṭ	[sound:పోస్ట్_google_female.mp3]
post office	పోస్టాఫీసు	pōsṭāphīsu	[sound:పోస్టాఫీసు_google_female.mp3]
pot	కుండ	kuṇḍa	[sound:కుండ_google_female.mp3]
potato	బంగాళదుంప	baṅgāḷadumpa	[sound:బంగాళదుంప_google_female.mp3]
potential	సంభావ్య	sambhāvya	[sound:సంభావ్య_google_female.mp3]
potentially	సంభావ్యంగా	sambhāvyaṅgā	[sound:సంభావ్యంగా_google_female.mp3]
pound	పౌండ్	pauṇḍ	[sound:పౌండ్_google_female.mp3]
pour	పోయాలి	pōyāli	[sound:పోయాలి_google_female.mp3]
powder	పొడి	poḍi	[sound:పొడి_google_female.mp3]
power	శక్తి	śakti	[sound:శక్తి_google_female.mp3]
powerful	శక్తివంతమైన	śaktivantamaina	[sound:శక్తివంతమైన_google_female.mp3]
practical	ఆచరణాత్మకమైనది	ācaraṇātmakamainadi	[sound:ఆచరణాత్మకమైనది_google_female.mp3]
practically	ఆచరణాత్మకంగా	ācaraṇātmakaṅgā	[sound:ఆచరణాత్మకంగా_google_female.mp3]
practice	సాధన	sādhana	[sound:సాధన_google_female.mp3]
practise	సాధన	sādhana	[sound:సాధన_google_female.mp3]
praise	ప్రశంసలు	praśansalu	[sound:ప్రశంసలు_google_female.mp3]
pray	ప్రార్థించండి	prārthin̄caṇḍi	[sound:ప్రార్థించండి_google_female.mp3]
prayer	ప్రార్థన	prārthana	[sound:ప్రార్థన_google_female.mp3]
precise	ఖచ్చితమైన	khaccitamaina	[sound:ఖచ్చితమైన_google_female.mp3]
precisely	ఖచ్చితంగా	khaccitaṅgā	[sound:ఖచ్చితంగా_google_female.mp3]
predict	అంచనా వేయండి	an̄canā vēyaṇḍi	[sound:అంచనా వేయండి_google_female.mp3]
prefer	ఇష్టపడతారు	iṣṭapaḍatāru	[sound:ఇష్టపడతారు_google_female.mp3]
preference	ప్రాధాన్యత	prādhān'yata	[sound:ప్రాధాన్యత_google_female.mp3]
pregnant	గర్భవతి	garbhavati	[sound:గర్భవతి_google_female.mp3]
premises	ప్రాంగణంలో	prāṅgaṇanlō	[sound:ప్రాంగణంలో_google_female.mp3]
preparation	తయారీ	tayārī	[sound:తయారీ_google_female.mp3]
prepare	సిద్ధం	sid'dhaṁ	[sound:సిద్ధం_google_female.mp3]
prepared	సిద్ధం	sid'dhaṁ	[sound:సిద్ధం_google_female.mp3]
presence	ఉనికిని	unikini	[sound:ఉనికిని_google_female.mp3]
present	ప్రస్తుతం	prastutaṁ	[sound:ప్రస్తుతం_google_female.mp3]
presentation	ప్రదర్శన	pradarśana	[sound:ప్రదర్శన_google_female.mp3]
preserve	సంరక్షించు	sanrakṣin̄cu	[sound:సంరక్షించు_google_female.mp3]
president	అధ్యక్షుడు	adhyakṣuḍu	[sound:అధ్యక్షుడు_google_female.mp3]
press	నొక్కండి	nokkaṇḍi	[sound:నొక్కండి_google_female.mp3]
pressure	ఒత్తిడి	ottiḍi	[sound:ఒత్తిడి_google_female.mp3]
presumably	బహుశా	bahuśā	[sound:బహుశా_google_female.mp3]
pretend	నటిస్తారు	naṭistāru	[sound:నటిస్తారు_google_female.mp3]
pretty	అందంగా	andaṅgā	[sound:అందంగా_google_female.mp3]
prevent	నిరోధిస్తాయి	nirōdhistāyi	[sound:నిరోధిస్తాయి_google_female.mp3]
