a 	 ﻿a
make 	 సృష్టించు
make into 	 తయారు చేయండి
make up 	 మేకప్ చేసుకోండి
make-up 	 మేకప్
make up for 	 దీనిని భర్తీ చేయండి
male 	 మగ
mall 	 మాల్
man 	 మనిషి
manage 	 నిర్వహించు
management 	 యాజమాన్యం
manager 	 నిర్వాహకుడు
manner 	 ప్రవర్తన
manufacture 	 తయారీ
manufacturer 	 తయారీదారు
manufacturing 	 తయారీ
many 	 అనేక
map 	 పటం
march 	 మార్చి
March 	 మార్చి
mark 	 గుర్తు
market 	 సంత
marketing 	 మార్కెటింగ్
marriage 	 వివాహం
married 	 పెళ్ళైన
marry 	 చేపట్టు
mass 	 ముద్ద
massive 	 భారీ
master 	 పంతులు
match 	 అగ్గిపుల్ల
matching 	 సరిపోలడం
match up 	 మ్యాచ్ అప్
mate 	 సహవాసి
material 	 ముఖ్యమైన
mathematics 	 గణితం
matter 	 విషయం
maximum 	 గరిష్ఠం
may 	 మే
May 	 మే
maybe 	 కావచ్చు
mayor 	 మేయర్
me 	 నాకు
meal 	 అన్నం ఆరగింపు
mean 	 సగటు
meaning 	 అర్థం
means 	 మార్గం
meanwhile 	 అంతలో
measure 	 కొలత
measurement 	 కొలత[మార్చు]
meat 	 మాంసం
media 	 మీడియా
medical 	 మెడికల్
medicine 	 మందు
medium 	 ఒక మోస్తరు
meet 	 కలుసుకో
meeting 	 సమావేశం
meet up 	 కలవండి
meet with 	 కలవండి
melt 	 మెత్తబడు
member 	 మెంబర్
membership 	 సభ్యత్వం
memory 	 జ్ఞాపకం
mental 	 మానస
mentally 	 మానసికంగా
mention 	 ఉదాహరించు
menu 	 మెనూ
mere 	 ఉత్త
merely 	 కేవలం
mess 	 గందరగోళం
message 	 సందేశం
metal 	 లోహం
method 	 రీతి
metre 	 మీటరు
mid- 	 మధ్య-
midday 	 మధ్యాహ్నము
middle 	 నడుమ
midnight 	 అర్ధరాత్రి
might 	 బలాత్కారం
mild 	 ఏదో కొంచెం నొప్పిగా ఉంది
mile 	 మైలు
military 	 మిలిటరీ
milk 	 పాలు
milligram 	 మిల్లీగ్రామ్
millimetre 	 మిల్లీమీటరు
million 	 పది లక్షలు
millionth 	 మిలియన్ వ వంతు
mind 	 బుద్ధి
mine 	 నాది
mineral 	 ఖనిజం
minimum 	 కనిష్టం
minister 	 మంత్రి
ministry 	 మంత్రిత్వ శాఖ
minor 	 మైనర్
minority 	 మైనారిటీ
minute 1 	 నిమిషం 1
mirror 	 అద్దం
miss 	 మిస్
missing 	 తప్పిపోయిన
miss out 	 మిస్ అవుట్
mistake 	 పొరపాటు
mistake for 	 తప్పు దేనికి
mistaken 	 తప్పు
mix 	 కలుపు
mixed 	 కలిపిన
mixture 	 మిశ్రమం
mix up 	 మిక్స్ చేయండి
mobile 	 గతిశీల
mobile phone 	 చరవాణి
model 	 నమూనా
modern 	 ఆధునిక
mom 	 అమ్మ
moment 	 క్షణం
Monday 	 సోమవారం
money 	 డబ్బు
monitor 	 పర్యవేక్షించు
month 	 నెల
mood 	 మానసిక స్థితి
moon 	 చంద్రుడు
moral 	 నీతి
morally 	 నైతికంగా
more 	 ఎక్కువ
moreover 	 పైగా
morning 	 ఉదయం
most 	 అధికమైన
mostly 	 ఎక్కువగా
mother 	 అమ్మ
motion 	 కదలిక
motor 	 మోటర్
motorbike 	 మోటారు బైక్
motorcycle 	 మోటార్ సైకిల్
mount 	 ఎక్కు
mountain 	 పర్వతం
mouse 	 చిట్టెలుక
mouth 	 నోరు
move 	 జరుగు
move in 	 లోపలికి వెళ్లండి
movement 	 కదలిక
move out 	 బయటకు తరలించడం
move over 	 జరుగు
movie 	 చలనచిత్రం
movie theater 	 సినిమా థియేటర్
moving 	 జరపడం
Mr 	 మిస్టర్
Mrs 	 శ్రీమతి
Ms 	 శ్రీమతి
much 	 చాలా
mud 	 బురద
multiply 	 గుణించు
mum 	 అమ్మ
murder 	 హత్య
muscle 	 కండరం
museum 	 సంగ్రహాలయం
music 	 సంగీతం
musical 	 సంగీతం
musician 	 పాఠకుడు
must 	 తప్పనిసరిగా ఉండాలి
my 	 నా
myself 	 నేను
mysterious 	 అంతుచిక్కని
mystery 	 గుహ్యము
nail 	 గోరు
naked 	 నగ్నంగా
name 	 పేరు
narrow 	 ఇరుకైన
nation 	 జాతి
national 	 దేశీయ
natural 	 సహజమైన
naturally 	 సహజంగా
nature 	 ప్రకృతి
navy 	 నౌకా దళం
near 	 సమీపం
nearby 	 దగ్గరలో
nearly 	 దాదాపుగా
neat 	 నీట్
neatly 	 బాగుగా
necessarily 	 తప్పనిసరిగా
necessary 	 తప్పనిసరి
neck 	 మెడ
need 	 అక్కర
needle 	 సూది
negative 	 నెగిటివ్
neighbour 	 పొరుగువాడు
neighbourhood 	 పొరుగు ప్రాంతం
neither 	 ఏదీ కాదు
nephew 	 మేనల్లుడు
nerve 	 నాడి
nervous 	 నాడీ
nervously 	 ఆందోళనగా
nest 	 గూడు
net 	 వల
network 	 నెట్ వర్క్
never 	 ఎన్నడూ
nevertheless 	 ఎటొచ్చీ
new 	 కొత్త
newly 	 కొత్తగా
news 	 వార్త
newspaper 	 పత్రిక
next 	 తరువాత
next to 	 పక్కన
nice 	 చక్కని
nicely 	 బాగా
niece 	 మేనకోడలు
night 	 రాత్రి
nine 	 తొమ్మిది
nineteen 	 పంతొమ్మిది
nineteenth 	 పంతొమ్మిదవ
ninetieth 	 తొంభైవ స్థానం
ninety 	 తొంభై
ninth 	 తొమ్మిదవ
no 	 కాదు
nobody 	 ఎవరూ లేరు
noise 	 చప్పుడు
noisily 	 శబ్దంగా
noisy 	 శబ్దం
non- 	 నాన్-
none 	 ఎవరు కాదు
nonsense 	 నాన్సెన్స్
no one 	 ఎవరూ లేరు
nor 	 లేదా
normal 	 నార్మల్
normally 	 సహజంగా
north 	 ఉత్తరం
northern 	 ఉత్తర
nose 	 ముక్కు
not 	 కాదు
note 	 రాసుకో
note down 	 నోట్ చేసుకోండి
nothing 	 శూన్యం
notice 	 గమనించు
noticeable 	 గుర్తించదగినది
novel 	 నవల
November 	 నవంబర్
now 	 ఇప్పుడు
nowhere 	 ఎక్కడా లేదు
nuclear 	 న్యూక్లియర్
number 	 అంకె
nurse 	 నర్సు
nut 	 గింజ
obey 	 పాటించండి
object 	 అడ్డుకో
objective 	 లక్ష్యం
observation 	 పరికించి చూసే
observe 	 పరిశీలించు
obtain 	 సాధించు
obvious 	 స్పష్టంగా
obviously 	 స్పష్టంగా
occasion 	 అక్కర
occasionally 	 అప్పుడప్పుడు
occupied 	 ఆక్రమించబడింది
occupy 	 ఆక్రమించు
occur 	 కలుగు
occur to 	 వీటికి సంభవిస్తుంది
ocean 	 మహా సముద్రం
o’clock 	 o'clock
October 	 అక్టోబర్
odd 	 బేసి
oddly 	 విచిత్రంగా
of 	 యొక్క
off 	 ఆఫ్
offence 	 అపరాధం
offend 	 బాధ కలిగించింది
offense 	 నేరం
offensive 	 అభ్యంతరకరంగా ఉంది
offer 	 అర్పించు
office 	 కార్యాలయం
officer 	 అధికారి
official 	 అధికారి
officially 	 అధికారికంగా
often 	 తరచుగా
oh 	 ఓహ్
oil 	 నూనె
OK 	 సరే
old 	 పాత
old-fashioned 	 పాత పద్ధతిలో..
on 	 మీద
once 	 ఒకసారి
one 	 ఒకటి
one another 	 ఒకదానికొకటి
onion 	 ఉల్లిపాయ
online 	 ఆన్‌లైన్
only 	 మాత్రం
onto 	 on on
open 	 బహిరంగ
opening 	 తెరవడం
openly 	 బహిరంగంగా
open up 	 బయటకు రండి
operate 	 ప్రయోగించు
operation 	 ఆపరేషన్
opinion 	 అభిప్రాయం
opponent 	 విరోధి
opportunity 	 అవకాశం
oppose 	 ఎదిరించు
opposed 	 వ్యతిరేకించారు
opposing 	 వ్యతిరేకిస్తోంది
opposite 	 ఉల్టా
opposition 	 ప్రతిపక్షం
option 	 ఆప్షన్
or 	 లేదా
orange 	 నారింజ
order 	 క్రమం
ordinary 	 సామాన్య
organ 	 అవయవం
organization 	 సంఘం
organize 	 నిర్వహించండి
organized 	 నిర్వహించబడింది
origin 	 మొదలు
original 	 అసలు
originally 	 ఒరిజినల్
other 	 ఇతర
otherwise 	 కాకపోతే
ought to 	 ఉండాలి
our 	 మన
ours 	 మనది
ourselves 	 మనమే
out 	 బయలు
outdoor 	 అవుట్ డోర్
outdoors 	 ఆరుబయట
outer 	 బాహ్య
outline 	 ఆకారం
output 	 ఉత్పత్తి
outside 	 బయట
outstanding 	 అద్భుతమైన
oven 	 పెనం
over 	 పూర్తైన
overall 	 మొత్తం మీద
overcome 	 అధిగమించు
owe 	 రుణపడి ఉన్నాడు
own 	 తన
owner 	 యజమాని
own up 	 స్వంతం చేసుకోండి
pace 1 	 వేగం 1
pack 	 సర్దుకో
package 	 బంగీ
packaging 	 ప్యాకేజింగ్
packet 	 పొట్లం
pack up 	 ప్యాక్ అప్ చేయండి
page 	 పుట
pain 	 నొప్పి
painful 	 బాధాకరం
paint 	 వర్ణం
painter 	 చిత్రకారుడు
painting 	 చిత్రం
pair 	 జోడు
palace 	 రాజ మందిరం
pale 	 పాలిపోయిన
pan 1 	 పాన్ 1
panel 	 ప్యానెల్
pants 	 ప్యాంట్
paper 	 కాగితం
parallel 	 సమాంతర
parent 	 తల్లి
park 	 పార్క్
parliament 	 పార్లమెంట్
part 	 వంతు
particular 	 ప్రత్యేక
particularly 	 ప్రత్యేకించి
partly 	 పాక్షికంగా
partner 	 భాగస్వామి
partnership 	 పొత్తు
party 	 విందు
pass 	 సందు
passage 	 ప్రయాణం
pass away 	 గతించు
pass by 	 పాస్ బై
passenger 	 బాటసారి
passing 	 పాసింగ్
pass on 	 పాస్ చేయండి
pass out 	 పాస్ అవుట్ చేయండి
passport 	 పాస్ పోర్ట్
pass round 	 పాస్ రౌండ్
pass through 	 గుండా వెళ్ళండి
past 	 గతం
path 	 దారి
patience 	 ఓర్పు
patient 	 రోగి
pattern 	 మాదిరి
pause 	 విరామం
pay 	 చెల్లించు
pay back 	 తిరిగి చెల్లించండి
payment 	 చెల్లింపు
pay out 	 చెల్లించండి
pay up 	 చెల్లించండి
peace 	 శాంతి
peaceful 	 నిర్మలమైన
peak 	 శిఖరం
pen 	 కలం
pencil 	 పెన్సిలు
penny 	 కాని
pension 1 	 పెన్షన్ 1
people 	 జనం
pepper 	 మిరపకాయ
per 	 per
per cent 	 శాతం
perfect 	 పరిపూర్ణ
perfectly 	 పరిపూర్ణంగా
perform 	 చేయు
performance 	 పనితీరు
performer 	 పెర్ఫార్మర్
perhaps 	 ఒకవేళ
period 	 కాలం
permanent 	 పక్కా
permanently 	 శాశ్వతంగా
permission 	 అనుమతి
permit 	 అనుమతించు
person 	 వ్యక్తి
personal 	 వ్యక్తిగత
personality 	 వ్యక్తిత్వం
personally 	 స్వయంగా
persuade 	 ఒప్పించు
pet 	 పెంపుడు
petrol 	 పెట్రోలు
phase 	 ఘట్టం
philosophy 	 తత్వశాస్త్రం
phone 	 ఫోన్
photo 	 ఫోటో
photocopy 	 ఫోటో కాపీ
photograph 	 ఛాయాచిత్రం
photographer 	 ఫోటోగ్రాఫర్
photography 	 ఛాయా చిత్ర కళ
phrase 	 పదబంధం
physical 	 భౌతిక
physically 	 శారీరకంగా
physics 	 భౌతిక శాస్త్రం
piano 	 పియానో
pick 	 కోయు
pick up 	 తీసుకోండి
picture 	 చిత్రం
piece 	 ముక్క
pig 	 పంది
pile 	 రాశి
pile up 	 కుప్పలు తెప్పలుగా
pill 	 మాత్ర
pilot 	 కర్ణధారి
pin 	 గుండు సూది
pink 	 గులాబీ రంగు
pint 	 pint
pipe 	 గొట్టం
pitch 	 గొంతు
pity 	 జాలి
place 	 ఉంచు
plain 	 సాదా
plan 	 ప్రణాళిక
plane 	 తలము
planet 	 గ్రహం
planning 	 ప్లానింగ్
plant 	 మొక్క
plastic 	 పోతపోసిన
plate 	 పళ్లెం
platform 	 వేదిక
play 	 ఆడు
play about 	 దీని గురించి ఆడండి
player 	 ఆటగాడు
play with 	 దీనితో ఆడండి
pleasant 	 ఆహ్లాదకరమైన
pleasantly 	 అల్లారుముద్దుగా
please 	 దయచేసి
pleased 	 తృప్తిపడిన
pleasing 	 కమనీయ
pleasure 	 ఆనందం
plenty 	 కోరినంత
plot 	 కుట్ర
plug 	 మేకు
plug in 	 ప్లగ్ ఇన్
plus 1 	 ప్లస్ 1
p.m. 	 పి.ఎం.
pocket 	 జేబు
poem 	 పద్యం
poetry 	 కవిత్వం
point 	 మొన
pointed 	 ఎత్తి చూపారు
point out 	 పాయింట్ అవుట్
poison 	 విషము
poisonous 	 విషపూరితమైన
pole 	 గడ కర్ర
police 	 పోలీసు
policy 	 పాలసీ
polish 	 పోలిష్
polite 	 మర్యాద
politely 	 మర్యాదగా
political 	 రాజకీయ
politically 	 రాజకీయంగా
politician 	 రాజకీయవేత్త
politics 	 రాజకీయాలు
pollution 	 కాలుష్యం
pool 	 సరస్సు
poor 	 పేద
pop 	 పేలుడు ధ్వని
popular 	 ప్రాచుర్యమైన
population 	 జనాభా
port 	 రేవు
pose 	 పోజు
position 	 పదవి
positive 	 పాజిటివ్
possess 	 ఆవేశించు
possession 	 స్వాధీనం
possibility 	 అలవి
possible 	 సంభావ్య
possibly 	 ఏమో
post 	 గుంజ
post office 	 తపాలా కార్యాలయం
pot 	 కుండ
potato 	 ఆలుగడ్డ
potential 	 పొటెన్షియల్
potentially 	 సంభావ్య
pound 	 దంచు
pour 	 పొయ్యి
powder 	 పొడి
power 	 అధికారం
powerful 	 బలమైన
practical 	 ఆచరణాత్మక
practically 	 వ్యావహారికంగా
practice 	 ఆచరణ
practise 	 ప్రాక్టీస్ చేయండి
praise 	 కీర్తించు
pray 	 పూజించు
prayer 	 ప్రార్థన
precise 	 ఖచ్చితమైన
precisely 	 ఖచ్చితంగా
predict 	 అంచనా వేయండి
prefer 	 ప్రాధాన్యత
preference 	 అభిరుచి
pregnant 	 కడుపుతో ఉన్న
premises 	 ఆవరణ
preparation 	 తయారీ
prepare 	 తయారు చేయు
prepared 	 సమాయత్త
presence 	 సమక్షం
present 	 ప్రస్తుతం
presentation 	 ప్రజంటేషన్
preserve 	 కాపాడు
president 	 అధ్యక్షుడు
press 	 నొక్కు
pressure 	 ఒత్తిడి
presumably 	 బహుశా
pretend 	 అభినయించు
pretty 	 చక్కని
prevent 	 నివారించు
previous 	 ముందరి
previously 	 ఇటీవల
price 	 వెల
pride 	 గర్వం
priest 	 పూజారి
primarily 	 ప్రధానంగా
primary 	 ప్రాధమిక
prime minister 	 ప్రధాన మంత్రి
prince 	 రాకుమారుడు
princess 	 రాకుమారి
principle 	 నియమం
print 	 ముద్రించు
printer 	 ముద్రాపకుడు
printing 	 ముద్రణ
print off 	 ప్రింట్ ఆఫ్
prior 	 పూర్వ
priority 	 ప్రాధాన్యత
prison 	 కారాగారం
prisoner 	 ఖైదీ
private 	 వ్యక్తిగత
privately 	 ప్రైవేట్ గా
prize 	 బహుమతి
probable 	 సంభావ్య
probably 	 బహుశ
problem 	 సమస్య
procedure 	 తంతు
proceed 	 నడచు
process 1 	 ప్రక్రియ 1
produce 	 ఉత్పత్తి
producer 	 నిర్మాత
product 	 ఉత్పత్తి
production 	 ఉత్పత్తి
profession 	 వృత్తి
professional 	 ప్రొఫెషనల్
professor 	 ఆచార్య
profit 	 లాభం
program 	 కార్యక్రమం
programme 	 కార్యక్రమం
progress 	 ప్రగతి
project 	 ప్రాజెక్ట్
promise 	 వాగ్దానం
promote 	 పెంచు
promotion 	 పదోన్నతి
prompt 	 ప్రేరేపించు
promptly 	 వెంటనే
pronounce 	 ఉచ్చరించు
pronunciation 	 ఉచ్ఛారణ
proof 	 రుజువు
proper 	 ఉచితమైన
properly 	 సరిగ్గా
property 	 ఆస్తి
proportion 	 అనుపాతం
proposal 	 ఉపపాద్యం
propose 	 ప్రతిపాదించు
prospect 	 prospect
protect 	 కాపాడు
protection 	 సంరక్షణ
protest 	 నిరసన
proud 	 పొగరు
proudly 	 గర్వంగా
prove 	 నిరూపించు
provide 	 అందించు
provided 	 అందించబడింది
providing 	 అందించడం
pub 	 పబ్
public 	 ప్రజా
publication 	 ప్రచురణ
publicity 	 ప్రచారం
publicly 	 బాహాటంగా
publish 	 ప్రచురించు
publishing 	 ప్రచురణ
pull 	 ఈడ్చు
pull apart 	 విడదీయండి
pull down 	 కిందకు లాగండి
pull in 	 లోపలికి లాగండి
pull off 	 లాగండి
pull out 	 పీకు
pull over 	 పక్కకు పెట్టు
pull through 	 లాగండి
pull together 	 కలిసి లాగండి
pull up 	 పైకి లాగండి
punch 	 పిడిగుద్దు
punish 	 దండించు
punishment 	 దండన
pupil 	 విద్యార్థి
purchase 	 కొనుగోలు
pure 	 నిర్మలమైన
purely 	 పూర్తిగా
purple 	 ఊదా
purpose 	 లక్ష్యం
pursue 	 అనుసరించు
push 	 తోయు
push about 	 ముందుకు సాగండి
push forward 	 ముందుకు సాగండి
put 	 ఉంచు
put away 	 దూరంగా ఉంచండి
put back 	 తిరిగి ఉంచండి
put down 	 దించు
put forward 	 ముందుకు తెచ్చారు
put in 	 ఉంచండి
put off 	 వాయిదా వేయండి
put on 	 బూటకం
put out 	 ఆర్పు
put through 	 అమలు చేయబడింది
put together 	 కూర్చు
put up 	 ఉంచండి
put up with 	 భరించండి
qualification 	 అర్హత
qualified 	 అర్హతగల
qualify 	 అర్హత
quality 	 గుణం
quantity 	 పరిమాణం
quarter 	 దిక్కు
queen 	 రాణి
question 	 ప్రశ్న
quick 	 తొందర
quickly 	 త్వరగా
quiet 	 ప్రశాంతం
quietly 	 నిశ్శబ్దంగా
quit 	 వదలిపెట్టు
quite 	 బొత్తిగా
quote 	 quote
race 	 జాతి
racing 	 రేసింగ్
radio 	 రేడియో
rail 	 రైలు
railroad 	 రైలుమార్గం
railway 	 రైల్వే
rain 	 వాన
raise 	 పెంచు
range 	 పరిధి
rank 	 శ్రేణి
rapid 	 త్వరగా
rapidly 	 త్వరగా
rare 	 అరుదైన
rarely 	 అరుదుగా
rate 	 నిష్పత్తి
rather 	 బదులుగా
raw 	 పచ్చి
re- 	 రీ-
reach 	 చేరు
react 	 ప్రతిస్పందించండి
reaction 	 చర్య
read 	 చదువు
reader 	 చదివేవాడు
reading 	 చదవడం
read out 	 చదవండి
read over 	 చదవండి
ready 	 తయారు
real 	 అసలు
realistic 	 వాస్తవిక
reality 	 వాస్తవికత
realize 	 తెలుసుకో
really 	 నిజంగా
rear 	 పెంచు
reason 	 కారణం
reasonable 	 సహేతుకమైన
reasonably 	 సహేతుకంగా
recall 	 రీకాల్ చేయండి
receipt 	 చీటీ
receive 	 స్వీకరించు
recent 	 ఇటీవలి
recently 	 ఇటీవల
reception 	 రిసెప్షన్
reckon 	 లెక్కపెట్టు
reckon on 	 లెక్కించండి
recognition 	 గుర్తింపు
recognize 	 గుర్తించు
recommend 	 సిఫార్సు
record 	 నమోదు
recording 	 గ్రహణం
recover 	 కోలుకో
red 	 ఎరుపు
reduce 	 తగ్గించు
reduction 	 తగ్గింపు
refer 	 రిఫర్ చేయండి
reference 	 ఉపప్రమాణం
refer to 	 రిఫర్ చేయండి
reflect 	 ప్రతిబింబించు
reform 	 సంస్కరించు
refrigerator 	 శీతలీకరణి
refusal 	 నిరాకరించడం
refuse 1 	 తిరస్కరించండి 1
regard 	 పరిగణించు
regarding 	 ఉద్దేశించు
region 	 ప్రాంతం
regional 	 ప్రాంతీయ
register 	 రిజిస్టర్ చేయండి
regret 	 విచారం
regular 	 అనుస్యూత
regularly 	 సాధారణంగా
regulation 	 నిబంధన
reject 	 నిరాకరించు
relate 	 రిలేట్
related 	 చెందిన
relate to 	 వీటికి సంబంధించినవి
relation 	 బంధువు
relationship 	 చుట్టరికం
relative 	 బంధువు
relatively 	 సాపేక్షంగా
relax 	 సడలించు
relaxed 	 రిలాక్స్డ్
relaxing 	 రిలాక్స్ అవుతూ..
release 	 విడుదల
relevant 	 సుసంగత
relief 	 సహాయం
religion 	 మతము
religious 	 మతపరమైన
rely 	 ఆధారపడండి
rely on 	 నమ్ము
remain 	 ఉండిపోండి
remaining 	 మిగలడం
remains 	 మిగిలి ఉంది
remark 	 వ్యాఖ్య
remarkable 	 చెప్పుకోదగినవి
remarkably 	 చెప్పుకోదగినవి
remember 	 ఙ్ఞాపకం
remind 	 గుర్తు చేయండి
remind of 	 గుర్తు చేయండి
remote 	 సుదూర
removal 	 తొలగింపు
remove 	 తీసివేయు
rent 	 అద్దె
rented 	 అద్దెకు ఇవ్వబడింది
repair 	 మరమ్మత్తు
repeat 	 రిపీట్ చేయండి
repeated 	 పదేపదే
repeatedly 	 పదే పదే
replace 	 రీప్లేస్ చేయండి
reply 	 జవాబు
report 	 నివేదిక
represent 	 నివేదించు
representative 	 ప్రతినిధి
reproduce 	 పునరుత్పత్తి
reputation 	 కీర్తి
request 	 మనవి
require 	 అవసరం
requirement 	 అవసరం
rescue 	 దక్కించు
research 	 పరిశోధన
reservation 	 రిజర్వేషన్
reserve 	 కేటాయించు
resident 	 నివాసి
resist 	 తట్టుకో
resistance 	 నిరోధం
resolve 	 పరిష్కరించు
resort 	 రిసార్ట్
resort to 	 ఆశ్రయించండి
resource 	 వనరులు
respect 	 గౌరవించు
respond 	 ప్రతిస్పందించండి
response 	 బదులు
responsibility 	 బాధ్యత
responsible 	 బాధ్యత గల
rest 	 విశ్రాంతి
restaurant 	 రెస్టారెంట్
restore 	 పునరుద్ధరించు
restrict 	 నిర్బంధించు
restricted 	 పరిమితం చేయబడింది
restriction 	 ఆంక్ష
result 	 ఫలితం
result in 	 ఫలితం ఇలా ఉంటుంది
retain 	 మిగుల్చు
retire 	 విరమించు
retired 	 పదవీ విరమణ చేశారు
retirement 	 పదవీ విరమణ
return 	 తిరిగి ఇవ్వు
reveal 	 వెల్లడించు
reverse 	 వ్యతిరేక
review 	 సమీక్ష
revise 	 సంస్కరించు
revision 	 పునఃసమీక్ష
revolution 	 విప్లవం
reward 	 పారితోషికం
rhythm 	 లయ
rice 	 బియ్యం
rich 	 సంపన్నుడు
rid 	 rid
ride 	 సవారీ
rider 	 రౌతు
ridiculous 	 హాస్యాస్పదం
riding 	 రైడింగ్
right 	 కుడివైపు
rightly 	 సరిగ్గా
ring 1 	 రింగ్ 1
ring 2 	 రింగ్ 2
ring back 	 రింగ్ బ్యాక్
rise 	 లేచు
risk 	 ప్రమాదం
rival 	 ప్రత్యర్థి
river 	 నది
road 	 దారి
rob 	 దోచు
rock 	 రాయి
role 	 పాత్ర
roll 	 దొర్లు
romantic 	 భావనాత్మక
roof 	 కప్పు
room 	 గది
root 	 వేరు
rope 	 తాడు
rough 	 గరుకైన
roughly 	 సుమారుగా
round 	 గుండ్రని
rounded 	 గుండ్రంగా ఉంది
route 	 దారి
routine 	 రొటీన్
row 1 	 వరుస 1
royal 	 రా
rub 	 రుద్దు
rubber 	 రబ్బరు
rubbish 	 చెత్త
rude 	 మొరటైన
rudely 	 మొరటుగా
ruin 	 పాడు
ruined 	 పాడైన
rule 	 పాలించు
rule out 	 తోసిపుచ్చండి
ruler 	 ఏలిక
rumour 	 పుకారు
run 	 పరుగెత్తు
run after 	 వెంట పరుగెత్తండి
run away 	 పారిపో
runner 	 రన్నర్
running 	 రన్నింగ్
run out 	 రనౌట్
run over 	 పరిగెత్తండి
run through 	 పరుగెత్తండి
rural 	 గ్రామీణ
rush 	 చొరబడడం
sack 	 సంచి
sad 	 విచారం
sadly 	 పాపం
sadness 	 విచారం
safe 	 మందసం
safely 	 పదిలంగా
safety 	 క్షేమం
sail 	 తెరచాప
sailing 	 [మార్చు] నౌకాయానం
sailor 	 నావికుడు
salad 	 సలాడ్
salary 	 జీతం
sale 	 అమ్మకం
salt 	 ఉప్పు
salty 	 ఉప్పని
same 	 అదే
sample 	 మచ్చు
sand 	 ఇసుక
satisfaction 	 తృప్తి
satisfied 	 కడుపు నిండ
satisfy 	 తీర్చు
satisfying 	 సంతృప్తికరంగా ఉంటుంది
Saturday 	 శనివారం
sauce 	 సాస్
save 	 కాపాడు
saving 	 పొదుపు
say 	 చెప్పు
scale 	 స్కేలు
scare 	 భయపెట్టు
scared 	 భయం
scare off 	 భయపెట్టండి
scene 	 దృశ్యం
schedule 	 అనుసూచి
scheme 	 తంత్రం
school 	 బడి
science 	 శాస్త్రము
scientific 	 వైజ్ఞానిక
scientist 	 శాస్త్రజ్ఞుడు
scissors 	 కత్తెర
score 	 ఇరవై
scratch 	 గోకు
scream 	 అరుపులు
screen 	 తెర
screw 	 మర
sea 	 సముద్రం
seal 	 ముద్ర
seal off 	 సీల్ ఆఫ్ చేయండి
search 	 వెతుకు
season 	 ఋతువు
seat 	 గద్దె
second 1 	 రెండవ 1
secondary 	 అప్రధాన
secret 	 రహస్యం
secretary 	 కార్యదర్శి
secretly 	 రహస్యంగా
section 	 ఖండం
sector 	 రంగం
secure 	 సురక్షితం
security 	 భద్రత
see 	 చూడు
see about 	 దీని గురించి చూడండి
seed 	 విత్తనం
seek 	 విచారించు
seem 	 కనబడు
see to 	 చూడండి
select 	 ఎంచు
selection 	 ఎంపిక
self 	 తనకు తాను
self- 	 తనకు తాను-
sell 	 అమ్ము
sell off 	 అమ్మడం
sell out 	 అమ్మండి
senate 	 సెనేట్
senator 	 సెనేటర్
send 	 పంపించు
send for 	 రప్పించు
send off 	 వీడుకొలుపు
senior 	 పెద్ద
sense 	 బుద్ధి
sensible 	 తెలివైనది
sensitive 	 సున్నితమైన
sentence 	 శిక్ష
separate 	 విడదీయు
separated 	 విడిపోయారు
separately 	 వేరుగా
separation 	 ఎడబాటు
September 	 సెప్టెంబర్
series 	 క్రమం
serious 	 తీవ్రమైన
seriously 	 తీవ్రంగా
servant 	 సేవకుడు
serve 	 కొలుచు
service 	 సేవ
session 	 సెషన్
set 	 అస్తమించు
set off 	 బయలుదేరింది
set out 	 బయలుదేరు
settle 	 తీర్చు
settle down 	 స్థిరపడు
set up 	 సెటప్ చేయబడింది
seven 	 ఏడు
seventeen 	 పదిహేడు
seventh 	 ఏడో
seventieth 	 70వ తరగతి
seventy 	 డెబ్బై
several 	 ఎన్నో
severe 	 భరించలేనంత
severely 	 తీవ్రంగా
sew 	 కుట్టు
sewing 	 కుట్టుపని
sex 	 లింగము
sexual 	 లైంగిక
sexually 	 లైంగికంగా
shade 	 నీడ
shadow 	 నీడ
shake 	 కదులు
shall 	 చేయాలి
shallow 	 లోతులేని
shame 	 సిగ్గు
shape 	 ఆకారం
shaped 	 ఆకారం
share 	 భాగం
sharp 	 పదును
sharply 	 చురుకుగా
shave 	 గొరుగు
she 	 ఆమె
sheep 	 గొర్రె
sheet 	 షీట్
shelf 	 అర
shell 	 చిప్ప
shelter 	 పాక
shift 	 మారు
shine 	 వెలుగు
shiny 	 మెరిసేది
ship 	 ఓడ
shirt 	 చొక్కా
shock 	 ఆఘాతం
shocked 	 షాక్ అయ్యారు
shocking 	 షాకింగ్
shoe 	 చెప్పు
shoot 	 కాడ
shoot down 	 కాల్పులు జరపండి
shooting 	 షూటింగ్
shop 	 అంగడి
shopping 	 షాపింగ్
short 	 పొట్టి
shortly 	 త్వరలో
shot 	 షాట్
should 	 ఉండాలి
shoulder 	 భుజం
shout 	 అరుపు
show 	 చూపించు
shower 	 జల్లు
show off 	 చూపించు
show round 	 చూపించు రౌండ్
show up 	 చూపించండి
shut 	 మూసుకో
shut down 	 మూసివేయి
shut in 	 మూసివేయబడింది
shut out 	 మూసివేయబడింది
shut up 	 నోరుముయ్యి
shy 	 జంకుగల
sick 	 జబ్బు
side 	 పక్క
sideways 	 పక్కకు
sight 	 చూపు
sign 	 గుర్తు
signal 	 సంకేతం
signature 	 సంతకం
significant 	 అర్థవంతమైన
